# Couch-coop metadata, one row per game id (CL3). Blank fields are not yet known,
# never a claim of zero: CL21's validator is what refuses a record still missing one.
#
# max_players  players on a single console, the whole point of the list
# screen       split | shared | pass    (split-screen, one shared view, pass-the-controller)
# scope        campaign | side | versus (full campaign, side modes only, versus only)
id,max_players,screen,scope
a-way-out,2,split,campaign
aegis-defenders,2,shared,campaign
aew-fight-forever,4,shared,versus
alienation,4,shared,campaign
arcade-paradise,2,shared,side
as-dusk-falls,8,shared,campaign
astroneer,,,
balan-wonderworld,2,shared,campaign
baldurs-gate-3,2,split,campaign
biped,2,shared,campaign
blackwind,2,shared,campaign
bleed-2,2,shared,campaign
borderlands-3,2,split,campaign
broforce,4,shared,campaign
call-of-duty-black-ops-cold-war,2,split,side
cant-drive-this,2,shared,campaign
castle-crashers-remastered,4,shared,campaign
catty-batty-the-spirit-guide,2,shared,campaign
cell-damage-hd,4,split,versus
chicory-a-colorful-tale,2,shared,campaign
children-of-morta,2,shared,campaign
contra-operation-galuga,2,shared,campaign
contra-rogue-corps,2,shared,campaign
crosskrush,2,shared,campaign
cuphead,2,shared,campaign
dandy-randy-dx,2,shared,campaign
darksiders-genesis,2,shared,campaign
dcs-justice-league-cosmic-chaos,2,shared,campaign
dead-nation,2,shared,campaign
death-squared,4,shared,campaign
death-tales,2,shared,campaign
degrees-of-separation,2,shared,campaign
demon-slayer-kimetsu-no-yaiba-the-hinokami-chronicles,2,split,versus
diablo-iii-e-iv,,,
die-for-valhalla,4,shared,campaign
dirt-5,4,split,versus
disney-classic-games-aladdin-and-the-lion-king,,,
divinity-original-sin,2,split,campaign
dodgeball-academia,2,shared,versus
dont-starve-together,2,split,campaign
double-dragon-gaiden-rise-of-the-dragons,2,shared,campaign
dungeon-defenders-awakened,4,shared,campaign
ea-sports-ufc-4,2,shared,versus
earth-defense-force-6,2,split,campaign
eight-dragons,4,shared,campaign
enter-the-gungeon,2,shared,campaign
escape-academy,2,shared,campaign
f1-2021,2,split,versus
fall-guys-ultimate-knockout,,,
fifa-21,4,shared,versus
fifa-22,4,shared,versus
fifa-23,4,shared,versus
fightn-rage,2,shared,campaign
final-vendetta,2,shared,campaign
for-the-king,3,pass,campaign
fortnite,2,split,versus
gang-beasts,4,shared,versus
gauntlet-slayer-edition,4,shared,campaign
gigabash,4,shared,versus
graven,,,
guacamelee-2,4,shared,campaign
gungungun,2,shared,campaign
guts-n-goals,4,shared,
haven,2,shared,campaign
heavenly-bodies,2,shared,campaign
helldivers,4,shared,campaign
hot-wheels-unleashed,2,split,versus
human-fall-flat,2,split,campaign
hyper-light-drifter,2,shared,campaign
ibb-obb,2,split,campaign
ice-cream-surfer,2,shared,campaign
jitsu-squad,4,shared,campaign
jydge,2,shared,campaign
keywe,2,shared,campaign
kitaria-fables,2,shared,campaign
lara-croft-and-the-guardian-of-light,2,shared,campaign
lara-croft-and-the-temple-of-osiris,4,shared,campaign
lego-marvel-super-heroes-2,2,shared,campaign
lego-star-wars-the-skywalker-saga,2,shared,campaign
little-big-planet-3,4,shared,campaign
llamasoft-the-jeff-minter-story,2,shared,side
