# Cover art, one row per game id (CL6). Blank file means no packshot yet, and the
# grid falls back to the generated typographic card at assets/covers/<id>.svg.
#
# file    path to the packshot, 2:3 portrait WebP, served from this repository
# file2x  the same packshot at twice the density, for a retina screen (CL18); optional,
#         and meaningless for the generated cards, which are vector and need no second size
# source  where the image came from -- required with a file, so no cover is unattributed
id,file,file2x,source
a-way-out,assets/covers/a-way-out.webp,assets/covers/a-way-out@2x.webp,https://store.steampowered.com/app/1222700/
aegis-defenders,assets/covers/aegis-defenders.webp,assets/covers/aegis-defenders@2x.webp,https://store.steampowered.com/app/371140/
aew-fight-forever,assets/covers/aew-fight-forever.webp,assets/covers/aew-fight-forever@2x.webp,https://store.steampowered.com/app/1913210/
alienation,,,
arcade-paradise,assets/covers/arcade-paradise.webp,assets/covers/arcade-paradise@2x.webp,https://store.steampowered.com/app/1388870/
as-dusk-falls,assets/covers/as-dusk-falls.webp,assets/covers/as-dusk-falls@2x.webp,https://store.steampowered.com/app/1341820/
balan-wonderworld,assets/covers/balan-wonderworld.webp,assets/covers/balan-wonderworld@2x.webp,https://store.steampowered.com/app/1341050/
baldurs-gate-3,assets/covers/baldurs-gate-3.webp,assets/covers/baldurs-gate-3@2x.webp,https://store.steampowered.com/app/1086940/
biped,assets/covers/biped.webp,assets/covers/biped@2x.webp,https://store.steampowered.com/app/1071870/
blackwind,assets/covers/blackwind.webp,assets/covers/blackwind@2x.webp,https://store.steampowered.com/app/1567520/
bleed-2,assets/covers/bleed-2.webp,assets/covers/bleed-2@2x.webp,https://store.steampowered.com/app/396350/
borderlands-3,assets/covers/borderlands-3.webp,assets/covers/borderlands-3@2x.webp,https://store.steampowered.com/app/397540/
broforce,assets/covers/broforce.webp,assets/covers/broforce@2x.webp,https://store.steampowered.com/app/274190/
call-of-duty-black-ops-cold-war,assets/covers/call-of-duty-black-ops-cold-war.webp,assets/covers/call-of-duty-black-ops-cold-war@2x.webp,https://store.steampowered.com/app/1985810/
cant-drive-this,assets/covers/cant-drive-this.webp,assets/covers/cant-drive-this@2x.webp,https://store.steampowered.com/app/466980/
castle-crashers-remastered,assets/covers/castle-crashers-remastered.webp,assets/covers/castle-crashers-remastered@2x.webp,https://store.steampowered.com/app/204360/
catty-batty-the-spirit-guide,assets/covers/catty-batty-the-spirit-guide.webp,assets/covers/catty-batty-the-spirit-guide@2x.webp,https://store.steampowered.com/app/1483470/
cel-damage-hd,,,
chicory-a-colorful-tale,assets/covers/chicory-a-colorful-tale.webp,assets/covers/chicory-a-colorful-tale@2x.webp,https://store.steampowered.com/app/1123450/
children-of-morta,assets/covers/children-of-morta.webp,assets/covers/children-of-morta@2x.webp,https://store.steampowered.com/app/330020/
contra-operation-galuga,assets/covers/contra-operation-galuga.webp,assets/covers/contra-operation-galuga@2x.webp,https://store.steampowered.com/app/2235020/
contra-rogue-corps,assets/covers/contra-rogue-corps.webp,assets/covers/contra-rogue-corps@2x.webp,https://store.steampowered.com/app/1020540/
crosskrush,assets/covers/crosskrush.webp,assets/covers/crosskrush@2x.webp,https://store.steampowered.com/app/1437410/
cuphead,assets/covers/cuphead.webp,assets/covers/cuphead@2x.webp,https://store.steampowered.com/app/268910/
dandy-randy-dx,assets/covers/dandy-randy-dx.webp,assets/covers/dandy-randy-dx@2x.webp,https://store.steampowered.com/app/1651030/
darksiders-genesis,assets/covers/darksiders-genesis.webp,assets/covers/darksiders-genesis@2x.webp,https://store.steampowered.com/app/710920/
dcs-justice-league-cosmic-chaos,,,
dead-nation,,,
death-squared,assets/covers/death-squared.webp,assets/covers/death-squared@2x.webp,https://store.steampowered.com/app/471810/
death-tales,assets/covers/death-tales.webp,assets/covers/death-tales@2x.webp,https://store.steampowered.com/app/1305440/
degrees-of-separation,assets/covers/degrees-of-separation.webp,assets/covers/degrees-of-separation@2x.webp,https://store.steampowered.com/app/809880/
demon-slayer-kimetsu-no-yaiba-the-hinokami-chronicles,assets/covers/demon-slayer-kimetsu-no-yaiba-the-hinokami-chronicles.webp,assets/covers/demon-slayer-kimetsu-no-yaiba-the-hinokami-chronicles@2x.webp,https://store.steampowered.com/app/1490890/
diablo-iii,,,
diablo-iv,assets/covers/diablo-iv.webp,assets/covers/diablo-iv@2x.webp,https://store.steampowered.com/app/2344520/
die-for-valhalla,assets/covers/die-for-valhalla.webp,assets/covers/die-for-valhalla@2x.webp,https://store.steampowered.com/app/606000/
dirt-5,assets/covers/dirt-5.webp,assets/covers/dirt-5@2x.webp,https://store.steampowered.com/app/1038250/
divinity-original-sin,assets/covers/divinity-original-sin.webp,assets/covers/divinity-original-sin@2x.webp,https://store.steampowered.com/app/373420/
dodgeball-academia,assets/covers/dodgeball-academia.webp,assets/covers/dodgeball-academia@2x.webp,https://store.steampowered.com/app/1422420/
dont-starve-together,assets/covers/dont-starve-together.webp,assets/covers/dont-starve-together@2x.webp,https://store.steampowered.com/app/322330/
double-dragon-gaiden-rise-of-the-dragons,assets/covers/double-dragon-gaiden-rise-of-the-dragons.webp,assets/covers/double-dragon-gaiden-rise-of-the-dragons@2x.webp,https://store.steampowered.com/app/1967260/
dungeon-defenders-awakened,assets/covers/dungeon-defenders-awakened.webp,assets/covers/dungeon-defenders-awakened@2x.webp,https://store.steampowered.com/app/1101190/
ea-sports-ufc-4,,,
earth-defense-force-6,assets/covers/earth-defense-force-6.webp,assets/covers/earth-defense-force-6@2x.webp,https://store.steampowered.com/app/2291060/
eight-dragons,assets/covers/eight-dragons.webp,assets/covers/eight-dragons@2x.webp,https://store.steampowered.com/app/716250/
enter-the-gungeon,assets/covers/enter-the-gungeon.webp,assets/covers/enter-the-gungeon@2x.webp,https://store.steampowered.com/app/311690/
escape-academy,assets/covers/escape-academy.webp,assets/covers/escape-academy@2x.webp,https://store.steampowered.com/app/1812090/
f1-2021,,,
fifa-21,,,
fifa-22,assets/covers/fifa-22.webp,assets/covers/fifa-22@2x.webp,https://store.steampowered.com/app/1506830/
fifa-23,,,
fightn-rage,assets/covers/fightn-rage.webp,assets/covers/fightn-rage@2x.webp,https://store.steampowered.com/app/674520/
final-vendetta,assets/covers/final-vendetta.webp,assets/covers/final-vendetta@2x.webp,https://store.steampowered.com/app/1891090/
for-the-king,assets/covers/for-the-king.webp,assets/covers/for-the-king@2x.webp,https://store.steampowered.com/app/527230/
fortnite,,,
gang-beasts,assets/covers/gang-beasts.webp,assets/covers/gang-beasts@2x.webp,https://store.steampowered.com/app/285900/
gauntlet-slayer-edition,,,
gigabash,assets/covers/gigabash.webp,assets/covers/gigabash@2x.webp,https://store.steampowered.com/app/1546400/
guacamelee-2,assets/covers/guacamelee-2.webp,assets/covers/guacamelee-2@2x.webp,https://store.steampowered.com/app/534550/
gungungun,assets/covers/gungungun.webp,assets/covers/gungungun@2x.webp,https://store.steampowered.com/app/544400/
guts-n-goals,,,
haven,assets/covers/haven.webp,assets/covers/haven@2x.webp,https://store.steampowered.com/app/983970/
heavenly-bodies,assets/covers/heavenly-bodies.webp,assets/covers/heavenly-bodies@2x.webp,https://store.steampowered.com/app/1138850/
helldivers,assets/covers/helldivers.webp,assets/covers/helldivers@2x.webp,https://store.steampowered.com/app/394510/
hot-wheels-unleashed,assets/covers/hot-wheels-unleashed.webp,assets/covers/hot-wheels-unleashed@2x.webp,https://store.steampowered.com/app/1271700/
human-fall-flat,assets/covers/human-fall-flat.webp,assets/covers/human-fall-flat@2x.webp,https://store.steampowered.com/app/477160/
hyper-light-drifter,assets/covers/hyper-light-drifter.webp,assets/covers/hyper-light-drifter@2x.webp,https://store.steampowered.com/app/257850/
ice-cream-surfer,,,
jitsu-squad,assets/covers/jitsu-squad.webp,assets/covers/jitsu-squad@2x.webp,https://store.steampowered.com/app/1522080/
jydge,,,
keywe,assets/covers/keywe.webp,assets/covers/keywe@2x.webp,https://store.steampowered.com/app/1242980/
kitaria-fables,assets/covers/kitaria-fables.webp,assets/covers/kitaria-fables@2x.webp,https://store.steampowered.com/app/1356280/
